DATE,UNRATE
1989-01-01,5.4
1989-02-01,5.2
1989-03-01,5.0
1989-04-01,5.2
1989-05-01,5.2
1989-06-01,5.3
1989-07-01,5.2
1989-08-01,5.2
1989-09-01,5.3
1989-10-01,5.3
1989-11-01,5.4
1989-12-01,5.4
1990-01-01,5.4
1990-02-01,5.3
1990-03-01,5.2
1990-04-01,5.4
1990-05-01,5.4
1990-06-01,5.2
1990-07-01,5.5
1990-08-01,5.7
1990-09-01,5.9
1990-10-01,5.9
1990-11-01,6.2
1990-12-01,6.3
1991-01-01,6.4
1991-02-01,6.6
1991-03-01,6.8
1991-04-01,6.7
1991-05-01,6.9
1991-06-01,6.9
1991-07-01,6.8
1991-08-01,6.9
1991-09-01,6.9
1991-10-01,7.0
1991-11-01,7.0
1991-12-01,7.3
1992-01-01,7.3
1992-02-01,7.4
1992-03-01,7.4
1992-04-01,7.4
1992-05-01,7.6
1992-06-01,7.8
1992-07-01,7.7
1992-08-01,7.6
1992-09-01,7.6
1992-10-01,7.3
1992-11-01,7.4
1992-12-01,7.4
1993-01-01,7.3
1993-02-01,7.1
1993-03-01,7.0
1993-04-01,7.1
1993-05-01,7.1
1993-06-01,7.0
1993-07-01,6.9
1993-08-01,6.8
1993-09-01,6.7
1993-10-01,6.8
1993-11-01,6.6
1993-12-01,6.5
1994-01-01,6.6
1994-02-01,6.6
1994-03-01,6.5
1994-04-01,6.4
1994-05-01,6.1
1994-06-01,6.1
1994-07-01,6.1
1994-08-01,6.0
1994-09-01,5.9
1994-10-01,5.8
1994-11-01,5.6
1994-12-01,5.5
1995-01-01,5.6
1995-02-01,5.4
1995-03-01,5.4
1995-04-01,5.8
1995-05-01,5.6
1995-06-01,5.6
1995-07-01,5.7
1995-08-01,5.7
1995-09-01,5.6
1995-10-01,5.5
1995-11-01,5.6
1995-12-01,5.6
1996-01-01,5.6
1996-02-01,5.5
1996-03-01,5.5
1996-04-01,5.6
1996-05-01,5.6
1996-06-01,5.3
1996-07-01,5.5
1996-08-01,5.1
1996-09-01,5.2
1996-10-01,5.2
1996-11-01,5.4
1996-12-01,5.4
1997-01-01,5.3
1997-02-01,5.2
1997-03-01,5.2
1997-04-01,5.1
1997-05-01,4.9
1997-06-01,5.0
1997-07-01,4.9
1997-08-01,4.8
1997-09-01,4.9
1997-10-01,4.7
1997-11-01,4.6
1997-12-01,4.7
1998-01-01,4.6
1998-02-01,4.6
1998-03-01,4.7
1998-04-01,4.3
1998-05-01,4.4
1998-06-01,4.5
1998-07-01,4.5
1998-08-01,4.5
1998-09-01,4.6
1998-10-01,4.5
1998-11-01,4.4
1998-12-01,4.4
1999-01-01,4.3
1999-02-01,4.4
1999-03-01,4.2
1999-04-01,4.3
1999-05-01,4.2
1999-06-01,4.3
1999-07-01,4.3
1999-08-01,4.2
1999-09-01,4.2
1999-10-01,4.1
1999-11-01,4.1
1999-12-01,4.0
2000-01-01,4.0
2000-02-01,4.1
2000-03-01,4.0
2000-04-01,3.8
2000-05-01,4.0
2000-06-01,4.0
2000-07-01,4.0
2000-08-01,4.1
2000-09-01,3.9
2000-10-01,3.9
2000-11-01,3.9
2000-12-01,3.9
2001-01-01,4.2
2001-02-01,4.2
2001-03-01,4.3
2001-04-01,4.4
2001-05-01,4.3
2001-06-01,4.5
2001-07-01,4.6
2001-08-01,4.9
2001-09-01,5.0
2001-10-01,5.3
2001-11-01,5.5
2001-12-01,5.7
2002-01-01,5.7
2002-02-01,5.7
2002-03-01,5.7
2002-04-01,5.9
2002-05-01,5.8
2002-06-01,5.8
2002-07-01,5.8
2002-08-01,5.7
2002-09-01,5.7
2002-10-01,5.7
2002-11-01,5.9
2002-12-01,6.0
2003-01-01,5.8
2003-02-01,5.9
2003-03-01,5.9
2003-04-01,6.0
2003-05-01,6.1
2003-06-01,6.3
2003-07-01,6.2
2003-08-01,6.1
2003-09-01,6.1
2003-10-01,6.0
2003-11-01,5.8
2003-12-01,5.7
2004-01-01,5.7
